V1,V6,V10,V12,V13,V14,V15
67,203.0,11,405.0,1,266.0,2
46,429.0,26,465.0,2,369.0,2
45,153.0,5,277.0,1,-1.0,0
57,19268.0,23,301.0,1,-1.0,0
59,3444.0,10,252.0,1,185.0,2
42,335.0,12,580.0,1,-1.0,0
32,212.0,7,830.0,5,-1.0,0
34,18.0,30,359.0,1,-1.0,0
59,259.0,18,224.0,1,-1.0,0
28,497.0,24,1602.0,6,-1.0,0
50,2366.0,28,816.0,2,149.0,1
28,6784.0,1,502.0,1,115.0,3
26,77.0,15,619.0,1,340.0,4
65,3195.0,2,904.0,1,-1.0,0
35,3837.0,8,1084.0,1,-1.0,0
42,283.0,23,761.0,1,-1.0,0
37,0.0,21,146.0,4,-1.0,0
28,377.0,30,571.0,1,-1.0,0
32,2615.0,19,853.0,1,-1.0,0
26,655.0,16,190.0,1,-1.0,0
27,20585.0,23,299.0,1,100.0,1
49,1050.0,18,924.0,1,-1.0,0
34,0.0,6,787.0,3,9.0,1
39,0.0,30,342.0,3,22.0,3
51,242.0,14,1336.0,4,-1.0,0
27,12956.0,29,789.0,3,-1.0,0
42,976.0,19,164.0,1,-1.0,0
35,671.0,10,112.0,1,-1.0,0
38,0.0,8,635.0,1,-1.0,0
33,0.0,14,535.0,3,328.0,1
27,710.0,6,653.0,1,334.0,2
47,1981.0,21,919.0,2,-1.0,0
31,3311.0,20,719.0,1,-1.0,0
41,1066.0,11,109.0,3,-1.0,0
32,2431.0,14,646.0,5,-1.0,0
33,163.0,20,627.0,2,-1.0,0
31,882.0,4,293.0,1,93.0,1
43,1791.0,5,254.0,1,-1.0,0
46,-522.0,27,243.0,3,239.0,13
86,0.0,26,189.0,1,-1.0,0
31,314.0,20,1341.0,3,178.0,7
35,321.0,21,143.0,1,412.0,3
26,828.0,17,156.0,1,199.0,1
34,273.0,14,492.0,1,175.0,2
32,5806.0,20,1503.0,2,-1.0,0
36,393.0,30,555.0,2,-1.0,0
22,71.0,13,337.0,1,181.0,2
53,2228.0,17,890.0,1,-1.0,0
52,94.0,10,153.0,1,92.0,13
35,431.0,17,343.0,2,397.0,1
39,393.0,26,281.0,1,-1.0,0
72,132.0,1,260.0,2,65.0,1
31,953.0,14,479.0,1,346.0,2
54,4393.0,16,1297.0,3,-1.0,0
69,0.0,28,184.0,2,126.0,2
53,0.0,12,80.0,2,-1.0,0
34,0.0,30,154.0,1,-1.0,0
44,163.0,14,1669.0,2,-1.0,0
47,4227.0,13,659.0,1,-1.0,0
34,606.0,20,97.0,1,-1.0,0
36,3407.0,9,993.0,4,85.0,4
31,825.0,21,506.0,2,-1.0,0
35,-32.0,9,63.0,4,182.0,5
24,556.0,6,368.0,2,80.0,2
30,53.0,29,375.0,1,-1.0,0
24,358.0,14,245.0,1,384.0,1
54,582.0,15,693.0,5,372.0,2
34,123.0,3,301.0,3,-1.0,0
27,2614.0,8,143.0,2,-1.0,0
29,84.0,3,587.0,3,-1.0,0
33,2240.0,3,198.0,1,-1.0,0
33,5.0,15,934.0,2,368.0,2
26,620.0,17,104.0,1,-1.0,0
44,429.0,23,80.0,1,-1.0,0
42,3403.0,7,215.0,1,99.0,1
54,380.0,17,696.0,2,-1.0,0
30,1028.0,4,1294.0,2,-1.0,0
49,0.0,17,223.0,1,-1.0,0
34,1279.0,21,339.0,3,91.0,10
64,109.0,23,706.0,1,225.0,2
27,1820.0,17,1027.0,1,-1.0,0
31,883.0,5,112.0,2,106.0,1
31,-35.0,20,952.0,2,-1.0,0
31,410.0,25,182.0,1,185.0,1
28,4745.0,12,360.0,1,181.0,5
29,332.0,9,179.0,1,-1.0,0
36,1352.0,19,2028.0,1,-1.0,0
46,0.0,3,305.0,13,-1.0,0
43,1258.0,20,312.0,1,-1.0,0
29,6567.0,15,792.0,2,298.0,1
49,300.0,21,316.0,1,-1.0,0
38,622.0,21,611.0,2,-1.0,0
25,304.0,26,226.0,2,-1.0,0
32,811.0,14,563.0,1,-1.0,0
30,289.0,14,1184.0,4,-1.0,0
40,1646.0,4,392.0,2,91.0,3
39,403.0,7,1262.0,3,-1.0,0
54,8295.0,2,849.0,2,119.0,1
27,265.0,13,1119.0,2,-1.0,0
32,560.0,6,1044.0,4,-1.0,0
44,2383.0,1,571.0,2,-1.0,0
26,223.0,21,1002.0,3,-1.0,0
32,473.0,10,1064.0,1,95.0,3
38,1988.0,27,164.0,2,130.0,2
84,81204.0,28,679.0,1,313.0,2
32,905.0,12,666.0,4,-1.0,0
36,1228.0,4,303.0,3,-1.0,0
43,983.0,26,97.0,1,-1.0,0
32,794.0,9,1014.0,1,-1.0,0
33,891.0,8,398.0,2,-1.0,0
28,236.0,4,193.0,1,87.0,3
66,147.0,12,411.0,1,-1.0,0
41,323.0,17,949.0,2,254.0,6
45,11.0,13,489.0,5,-1.0,0
35,2999.0,12,1141.0,6,-1.0,0
36,1506.0,14,326.0,3,-1.0,0
53,284.0,1,781.0,1,-1.0,0
54,1303.0,3,1635.0,1,-1.0,0
62,2801.0,9,261.0,1,183.0,1
73,519.0,16,434.0,1,57.0,1
41,138.0,18,640.0,3,-1.0,0
49,168.0,8,513.0,1,-1.0,0
30,0.0,27,1051.0,1,-1.0,0
59,2396.0,20,488.0,1,-1.0,0
29,27.0,6,754.0,1,-1.0,0
33,6843.0,20,755.0,1,100.0,10
37,6101.0,6,141.0,1,-1.0,0
36,2473.0,28,965.0,4,-1.0,0
25,1857.0,13,195.0,2,91.0,10
27,1720.0,3,284.0,2,273.0,1
46,4.0,30,268.0,1,261.0,5
33,1278.0,6,649.0,1,-1.0,0
53,1624.0,5,158.0,3,-1.0,0
43,386.0,12,220.0,3,529.0,1
56,249.0,29,791.0,2,-1.0,0
44,1074.0,11,911.0,2,-1.0,0
35,860.0,5,884.0,4,-1.0,0
25,358.0,16,330.0,1,-1.0,0
37,1110.0,22,802.0,11,-1.0,0
47,70.0,5,144.0,4,374.0,2
37,122.0,19,1622.0,2,-1.0,0
36,3623.0,12,71.0,1,378.0,1
35,0.0,19,644.0,4,-1.0,0
35,992.0,1,238.0,1,-1.0,0
41,1253.0,21,1134.0,5,-1.0,0
37,565.0,29,449.0,1,398.0,1
36,96.0,30,729.0,4,-1.0,0
43,-754.0,9,727.0,3,-1.0,0
42,994.0,18,453.0,1,67.0,9
56,616.0,30,225.0,1,83.0,1
34,-251.0,18,641.0,1,-1.0,0
27,-67.0,6,604.0,3,236.0,2
37,455.0,13,904.0,6,-1.0,0
76,2991.0,22,344.0,1,183.0,1
32,2667.0,12,971.0,2,-1.0,0
33,718.0,29,271.0,1,84.0,3
32,131.0,21,322.0,1,189.0,1
51,0.0,7,302.0,1,-1.0,0
33,55.0,30,526.0,2,87.0,3
35,3544.0,8,380.0,1,-1.0,0
37,6089.0,14,616.0,2,-1.0,0
55,8304.0,1,193.0,1,92.0,1
34,496.0,13,333.0,1,-1.0,0
30,302.0,11,528.0,3,-1.0,0
21,2488.0,12,661.0,2,92.0,1
49,320.0,9,1971.0,4,-1.0,0
38,205.0,26,332.0,1,-1.0,0
45,506.0,23,229.0,2,-1.0,0
35,62.0,8,469.0,2,185.0,2
57,589.0,11,167.0,1,190.0,5
29,1441.0,4,80.0,2,-1.0,0
36,341.0,13,282.0,1,-1.0,0
27,3706.0,16,897.0,1,-1.0,0
40,1175.0,14,184.0,1,-1.0,0
36,40.0,27,259.0,3,475.0,4
57,734.0,6,1357.0,4,-1.0,0
25,42.0,5,149.0,1,94.0,1
44,121.0,9,248.0,1,91.0,1
33,1904.0,17,1584.0,2,-1.0,0
52,955.0,3,153.0,1,48.0,3
30,253.0,5,259.0,1,-1.0,0
35,5613.0,28,699.0,3,-1.0,0
27,2855.0,25,240.0,1,301.0,3
48,1093.0,13,1226.0,2,-1.0,0
23,780.0,16,393.0,1,183.0,3
38,6368.0,4,922.0,4,-1.0,0
36,3850.0,12,239.0,2,100.0,4
46,558.0,6,319.0,1,-1.0,0
31,71.0,12,119.0,1,-1.0,0
34,640.0,29,636.0,2,-1.0,0
42,5310.0,22,545.0,2,186.0,1
26,915.0,2,384.0,1,-1.0,0
39,1836.0,6,902.0,3,-1.0,0
63,0.0,13,263.0,1,181.0,2
33,87.0,12,978.0,1,-1.0,0
44,244.0,12,1735.0,4,-1.0,0
39,25.0,28,315.0,1,210.0,2
23,488.0,29,205.0,1,91.0,3
19,108.0,10,168.0,1,182.0,2
36,125.0,15,676.0,3,-1.0,0
32,116.0,20,718.0,2,-1.0,0
40,1248.0,11,1290.0,2,-1.0,0
45,-207.0,15,878.0,2,-1.0,0
33,1211.0,7,456.0,1,-1.0,0
42,254.0,9,288.0,7,183.0,4
58,3399.0,30,1628.0,2,188.0,8
38,4017.0,4,470.0,1,96.0,3
25,331.0,26,170.0,4,-1.0,0
55,3485.0,18,625.0,4,-1.0,0
28,2.0,24,454.0,1,-1.0,0
31,163.0,30,707.0,2,2.0,1
31,533.0,12,372.0,1,90.0,10
55,366.0,5,365.0,3,57.0,2
30,4468.0,2,204.0,1,-1.0,0
59,957.0,8,301.0,1,89.0,2
46,0.0,28,1199.0,2,-1.0,0
42,625.0,19,651.0,3,-1.0,0
32,46.0,21,788.0,6,-1.0,0
38,1711.0,20,379.0,3,202.0,1
57,854.0,27,700.0,4,92.0,1
47,3070.0,7,663.0,4,-1.0,0
29,265.0,25,414.0,1,184.0,1
46,3512.0,30,175.0,1,197.0,1
52,1306.0,15,288.0,1,-1.0,0
33,697.0,6,860.0,2,-1.0,0
59,1575.0,22,1241.0,11,-1.0,0
54,240.0,29,142.0,1,-1.0,0
31,924.0,5,207.0,2,98.0,1
37,1188.0,24,310.0,1,-1.0,0
31,0.0,17,188.0,3,-1.0,0
31,1032.0,7,284.0,1,-1.0,0
23,1506.0,9,131.0,4,-1.0,0
32,8929.0,11,126.0,1,-1.0,0
50,363.0,16,1340.0,1,-1.0,0
70,6538.0,9,394.0,1,-1.0,0
27,5291.0,11,293.0,1,91.0,4
31,877.0,9,209.0,1,92.0,8
24,474.0,30,551.0,1,-1.0,0
26,5795.0,14,1094.0,2,-1.0,0
43,1612.0,25,262.0,2,353.0,1
32,376.0,23,248.0,4,-1.0,0
55,1580.0,19,1007.0,1,-1.0,0
34,3301.0,17,485.0,2,227.0,4
35,344.0,27,519.0,16,-1.0,0
52,40.0,19,1265.0,3,-1.0,0
38,104.0,6,606.0,3,-1.0,0
48,46.0,3,113.0,2,180.0,1
26,632.0,12,312.0,3,181.0,1
60,264.0,1,265.0,1,-1.0,0
33,318.0,8,1190.0,1,141.0,3
60,367.0,16,318.0,2,-1.0,0
30,167.0,10,255.0,1,-1.0,0
25,139.0,12,138.0,1,-1.0,0
44,4119.0,21,1074.0,1,-1.0,0
35,304.0,18,237.0,1,-1.0,0
72,4657.0,22,305.0,3,309.0,5
30,2424.0,12,110.0,1,279.0,1
41,2226.0,7,182.0,2,99.0,1
62,569.0,4,288.0,1,1.0,8
28,322.0,11,240.0,2,95.0,3
40,206.0,23,499.0,6,185.0,4
53,0.0,6,1452.0,1,98.0,2
28,785.0,8,442.0,2,-1.0,0
45,1893.0,3,1259.0,6,-1.0,0
22,691.0,19,338.0,1,-1.0,0
46,70.0,27,229.0,2,-1.0,0
55,1320.0,28,340.0,1,91.0,2
46,149.0,21,1222.0,2,-1.0,0
43,240.0,16,453.0,1,-1.0,0
29,70.0,25,393.0,1,-1.0,0
41,1077.0,9,207.0,3,387.0,2
61,2580.0,16,270.0,3,202.0,7
34,2287.0,26,895.0,4,-1.0,0
40,5060.0,10,154.0,2,93.0,1
36,2843.0,14,186.0,1,-1.0,0
25,469.0,21,273.0,1,86.0,1
38,1478.0,12,926.0,4,-1.0,0
33,-274.0,17,715.0,2,329.0,2
34,124.0,14,604.0,4,366.0,2
49,128.0,12,696.0,2,-1.0,0
40,2040.0,18,906.0,2,350.0,2
38,70.0,27,164.0,4,92.0,4
39,7066.0,15,667.0,3,357.0,3
27,3733.0,13,299.0,6,-1.0,0
71,14220.0,9,397.0,1,-1.0,0
44,0.0,5,1960.0,3,-1.0,0
71,0.0,26,771.0,1,171.0,1
82,243.0,26,275.0,1,180.0,2
63,91.0,26,128.0,3,-1.0,0
78,1389.0,8,335.0,1,-1.0,0
57,0.0,28,648.0,1,-1.0,0
46,977.0,2,436.0,3,-1.0,0
32,491.0,8,251.0,2,91.0,7
68,2820.0,3,154.0,1,97.0,2
41,27696.0,12,138.0,2,184.0,3
32,995.0,3,331.0,1,99.0,2
43,3173.0,15,746.0,1,-1.0,0
34,182.0,6,938.0,2,-1.0,0
29,590.0,25,124.0,1,-1.0,0
38,199.0,12,1203.0,1,306.0,1
51,1801.0,16,838.0,3,-1.0,0
32,1026.0,13,289.0,1,-1.0,0
23,691.0,27,1178.0,1,178.0,6
32,705.0,25,414.0,2,35.0,4
32,121.0,20,758.0,1,-1.0,0
92,775.0,26,164.0,4,96.0,3
69,482.0,29,478.0,1,267.0,1
61,4629.0,27,181.0,1,92.0,1
28,0.0,4,546.0,3,196.0,4
54,2156.0,30,258.0,1,86.0,5
35,415.0,4,649.0,1,176.0,1
83,425.0,22,773.0,1,92.0,2
43,2367.0,22,83.0,1,113.0,3
34,1454.0,11,231.0,2,297.0,2
44,618.0,12,193.0,1,-1.0,0
39,1423.0,21,733.0,3,-1.0,0
58,4198.0,15,441.0,5,246.0,5
54,859.0,21,710.0,1,-1.0,0
32,-198.0,21,681.0,3,-1.0,0
35,5958.0,22,215.0,1,-1.0,0
28,0.0,26,1560.0,2,-1.0,0
32,409.0,9,217.0,2,-1.0,0
30,2666.0,5,475.0,2,93.0,4
27,1977.0,22,449.0,1,-1.0,0
41,-109.0,11,1038.0,1,370.0,1
45,226.0,13,177.0,6,179.0,10
33,0.0,30,227.0,2,-1.0,0
49,0.0,30,551.0,1,-1.0,0
24,1295.0,22,355.0,2,92.0,1
47,0.0,5,1446.0,1,-1.0,0
92,775.0,22,313.0,3,-1.0,0
32,366.0,14,366.0,2,-1.0,0
35,563.0,4,147.0,1,119.0,3
41,0.0,4,352.0,2,122.0,2
33,30.0,22,1077.0,1,-1.0,0
32,6281.0,3,1336.0,4,-1.0,0
58,4152.0,30,750.0,2,164.0,4
25,505.0,17,386.0,2,-1.0,0
37,1458.0,30,281.0,1,-1.0,0
43,-236.0,28,745.0,7,-1.0,0
53,421.0,20,677.0,1,-1.0,0
24,685.0,26,896.0,3,-1.0,0
31,1858.0,12,453.0,3,-1.0,0
38,238.0,4,139.0,1,92.0,3
33,1697.0,3,179.0,1,-1.0,0
26,267.0,28,817.0,2,-1.0,0
48,156.0,4,291.0,1,-1.0,0
61,2557.0,10,158.0,2,92.0,5
39,2763.0,2,526.0,2,-1.0,0
24,125.0,9,263.0,1,90.0,1
46,0.0,20,531.0,1,167.0,1
33,7608.0,30,238.0,4,-1.0,0
44,348.0,16,170.0,2,-1.0,0
59,0.0,20,392.0,1,-1.0,0
45,5021.0,14,233.0,1,-1.0,0
35,470.0,25,743.0,13,-1.0,0
37,1113.0,2,229.0,1,182.0,1
80,235.0,31,577.0,1,223.0,3
45,2776.0,27,287.0,2,181.0,1
34,271.0,15,308.0,1,94.0,4
42,-215.0,20,1573.0,5,-1.0,0
33,315.0,4,146.0,3,-1.0,0
31,1815.0,9,1541.0,1,-1.0,0
30,3779.0,13,1093.0,1,-1.0,0
30,1221.0,25,279.0,4,-1.0,0
30,655.0,26,212.0,1,202.0,2
47,162.0,25,366.0,3,-1.0,0
48,863.0,4,412.0,5,350.0,2
54,2473.0,5,607.0,2,-1.0,0
28,-170.0,10,720.0,2,-1.0,0
51,895.0,23,638.0,2,-1.0,0
43,4945.0,3,219.0,3,185.0,2
31,1081.0,24,202.0,5,261.0,2
45,205.0,3,373.0,1,92.0,1
28,0.0,18,390.0,5,-1.0,0
71,2600.0,13,186.0,2,98.0,1
64,1612.0,18,336.0,1,89.0,5
60,0.0,3,676.0,2,181.0,5
42,213.0,7,434.0,3,-1.0,0
33,294.0,8,763.0,1,-1.0,0
46,4343.0,20,185.0,1,-1.0,0
40,4736.0,11,285.0,2,-1.0,0
28,1720.0,14,230.0,1,91.0,4
30,415.0,6,984.0,1,343.0,4
33,-452.0,29,692.0,2,-1.0,0
39,130.0,4,1290.0,2,-1.0,0
56,589.0,29,535.0,2,-1.0,0
60,631.0,12,429.0,2,-1.0,0
59,4744.0,4,879.0,1,-1.0,0
81,5220.0,13,135.0,1,94.0,2
34,0.0,3,261.0,1,470.0,2
52,1228.0,4,218.0,1,-1.0,0
32,1246.0,4,192.0,2,-1.0,0
39,2263.0,21,1158.0,9,-1.0,0
25,8.0,22,107.0,2,-1.0,0
30,10884.0,4,333.0,2,-1.0,0
32,520.0,3,443.0,2,-1.0,0
54,114.0,30,458.0,3,-1.0,0
26,-930.0,14,786.0,1,-1.0,0
33,0.0,17,1448.0,7,-1.0,0
53,6571.0,3,208.0,1,-1.0,0
36,2944.0,18,882.0,8,-1.0,0
69,0.0,27,666.0,1,90.0,4
27,111.0,7,495.0,2,-1.0,0
70,2795.0,8,480.0,1,181.0,2
26,507.0,30,380.0,1,-1.0,0
48,315.0,11,271.0,1,-1.0,0
28,19.0,17,149.0,1,-1.0,0
42,214.0,16,127.0,1,-1.0,0
31,-405.0,13,703.0,2,-1.0,0
34,243.0,18,507.0,1,-1.0,0
52,1005.0,2,195.0,1,-1.0,0
49,2039.0,6,451.0,1,169.0,2
67,704.0,8,186.0,2,97.0,1
57,5768.0,19,512.0,1,-1.0,0
65,276.0,22,229.0,1,-1.0,0
52,-191.0,15,755.0,1,-1.0,0
35,193.0,30,565.0,1,13.0,1
42,2187.0,17,525.0,3,-1.0,0
35,43.0,20,860.0,1,-1.0,0
29,2929.0,5,232.0,1,89.0,4
27,0.0,17,991.0,5,-1.0,0
28,2335.0,13,624.0,1,-1.0,0
62,0.0,13,227.0,2,-1.0,0
30,129.0,26,1446.0,7,-1.0,0
61,267.0,21,192.0,3,184.0,1
32,2976.0,5,783.0,1,175.0,5
30,3291.0,19,1218.0,3,-1.0,0
41,0.0,30,373.0,3,-1.0,0
33,1808.0,28,250.0,3,-1.0,0
32,136.0,16,206.0,1,188.0,3
47,2749.0,30,774.0,2,164.0,1
25,316.0,27,347.0,2,-1.0,0
72,1533.0,16,546.0,2,-1.0,0
48,973.0,8,319.0,1,134.0,2
61,243.0,20,194.0,1,-1.0,0
64,588.0,8,409.0,1,-1.0,0
23,480.0,9,742.0,2,182.0,1
30,201.0,31,219.0,1,157.0,12
42,5310.0,20,273.0,1,90.0,3
33,390.0,9,665.0,2,-1.0,0
56,2815.0,11,212.0,1,-1.0,0
60,18967.0,29,177.0,2,-1.0,0
30,533.0,11,229.0,2,99.0,4
33,5.0,17,1007.0,2,-1.0,0
28,5474.0,28,486.0,5,-1.0,0
31,147.0,9,163.0,2,92.0,3
34,159.0,18,252.0,1,-1.0,0
42,314.0,30,234.0,1,-1.0,0
33,1636.0,4,592.0,1,66.0,1
31,111.0,21,504.0,2,93.0,2
38,0.0,13,531.0,2,-1.0,0
54,1938.0,28,551.0,3,-1.0,0
39,393.0,28,325.0,1,94.0,1
41,3234.0,30,2770.0,1,-1.0,0
77,1780.0,23,221.0,2,183.0,3
34,155.0,5,696.0,2,-1.0,0
40,5637.0,30,553.0,3,-1.0,0
53,380.0,5,438.0,2,-1.0,0
52,2398.0,3,412.0,1,-1.0,0
26,5169.0,25,397.0,1,35.0,2
32,522.0,22,576.0,2,-1.0,0
39,1515.0,4,815.0,6,167.0,6
57,2120.0,19,687.0,4,-1.0,0
59,1.0,29,210.0,1,-1.0,0
32,10281.0,22,400.0,1,-1.0,0
43,54.0,30,62.0,2,-1.0,0
24,9.0,27,292.0,7,-1.0,0
33,565.0,8,77.0,2,-1.0,0
24,11.0,13,109.0,2,-1.0,0
38,265.0,17,854.0,3,-1.0,0
59,2764.0,18,459.0,1,56.0,3
59,1228.0,16,57.0,3,-1.0,0
53,2430.0,19,73.0,2,145.0,3
43,3664.0,29,274.0,1,-1.0,0
42,68.0,27,198.0,1,-1.0,0
55,42.0,26,318.0,1,-1.0,0
34,303.0,29,50.0,1,195.0,2
32,258.0,3,114.0,3,-1.0,0
28,27.0,27,294.0,1,-1.0,0
56,401.0,20,26.0,1,-1.0,0
30,6.0,5,279.0,2,342.0,2
36,1392.0,15,205.0,2,-1.0,0
36,406.0,14,123.0,2,-1.0,0
32,202.0,4,429.0,1,201.0,1
43,-41.0,20,8.0,3,-1.0,0
59,0.0,17,98.0,1,-1.0,0
36,569.0,9,265.0,1,323.0,5
30,-208.0,13,108.0,1,-1.0,0
37,4760.0,8,182.0,2,169.0,2
47,8.0,29,62.0,2,-1.0,0
58,3948.0,13,76.0,1,-1.0,0
36,-92.0,18,196.0,3,-1.0,0
40,502.0,3,267.0,4,270.0,3
44,-68.0,25,121.0,4,-1.0,0
37,3977.0,17,264.0,1,-1.0,0
37,732.0,25,354.0,1,-1.0,0
45,507.0,21,304.0,2,-1.0,0
45,194.0,31,517.0,4,-1.0,0
59,2443.0,20,8.0,8,-1.0,0
60,130.0,6,151.0,1,-1.0,0
45,-33.0,28,198.0,3,-1.0,0
45,-191.0,18,178.0,3,-1.0,0
35,199.0,17,203.0,1,344.0,3
42,47.0,8,141.0,1,-1.0,0
26,84.0,29,70.0,3,-1.0,0
36,246.0,18,427.0,4,-1.0,0
60,100.0,5,528.0,1,-1.0,0
27,2731.0,16,30.0,1,-1.0,0
36,473.0,22,72.0,2,-1.0,0
42,343.0,25,87.0,4,-1.0,0
52,199.0,28,978.0,2,189.0,1
43,690.0,6,171.0,3,-1.0,0
52,0.0,4,74.0,1,-1.0,0
27,80.0,27,188.0,2,-1.0,0
26,81.0,28,63.0,2,-1.0,0
36,771.0,8,152.0,1,-1.0,0
57,567.0,2,87.0,2,265.0,3
83,2619.0,16,181.0,2,-1.0,0
56,1454.0,30,479.0,1,-1.0,0
55,1446.0,17,135.0,1,-1.0,0
30,12569.0,18,87.0,1,-1.0,0
33,277.0,24,57.0,2,-1.0,0
51,74.0,25,79.0,2,-1.0,0
47,846.0,13,85.0,2,370.0,2
28,264.0,21,443.0,2,-1.0,0
41,-396.0,7,104.0,4,-1.0,0
27,876.0,18,268.0,1,355.0,1
42,4791.0,30,88.0,2,-1.0,0
49,2405.0,23,216.0,8,-1.0,0
34,4447.0,10,75.0,2,-1.0,0
46,1740.0,11,333.0,1,-1.0,0
55,-196.0,20,210.0,2,-1.0,0
43,4056.0,4,13.0,6,89.0,2
37,7100.0,20,757.0,2,-1.0,0
45,2278.0,17,1735.0,2,-1.0,0
26,-14.0,31,9.0,31,-1.0,0
45,-158.0,2,91.0,1,-1.0,0
37,0.0,22,185.0,1,-1.0,0
48,-205.0,9,112.0,1,-1.0,0
44,1696.0,16,139.0,3,-1.0,0
41,1141.0,27,228.0,1,-1.0,0
36,6384.0,18,97.0,1,-1.0,0
50,413.0,19,243.0,2,-1.0,0
51,1521.0,6,24.0,1,-1.0,0
48,67.0,14,251.0,2,-1.0,0
54,7449.0,19,235.0,7,-1.0,0
58,7881.0,28,507.0,8,-1.0,0
43,6424.0,20,55.0,1,-1.0,0
47,-346.0,3,137.0,2,253.0,2
41,1735.0,21,358.0,3,-1.0,0
43,6.0,29,365.0,2,-1.0,0
46,137.0,5,246.0,1,-1.0,0
35,3339.0,6,304.0,2,-1.0,0
30,7032.0,17,102.0,1,-1.0,0
27,1501.0,24,187.0,1,-1.0,0
52,3429.0,17,516.0,1,-1.0,0
43,1663.0,7,185.0,2,-1.0,0
39,8.0,29,1028.0,2,-1.0,0
42,-887.0,2,349.0,4,-1.0,0
49,2159.0,17,771.0,1,-1.0,0
33,2366.0,11,249.0,1,356.0,2
28,882.0,8,107.0,2,-1.0,0
46,229.0,17,191.0,1,-1.0,0
50,1743.0,6,49.0,5,-1.0,0
33,0.0,20,210.0,2,-1.0,0
24,94.0,12,166.0,2,-1.0,0
33,0.0,11,443.0,1,-1.0,0
58,-205.0,3,497.0,2,-1.0,0
56,705.0,19,164.0,2,-1.0,0
37,308.0,7,96.0,3,-1.0,0
60,-330.0,22,69.0,6,-1.0,0
32,438.0,21,318.0,5,-1.0,0
44,5004.0,20,175.0,2,-1.0,0
30,274.0,11,97.0,2,-1.0,0
37,152.0,26,159.0,3,-1.0,0
38,1262.0,17,49.0,2,-1.0,0
44,181.0,13,302.0,1,-1.0,0
48,0.0,15,964.0,2,-1.0,0
45,323.0,13,276.0,2,-1.0,0
42,1628.0,5,119.0,1,195.0,8
32,-1500.0,27,157.0,2,-1.0,0
38,-255.0,24,63.0,1,-1.0,0
33,0.0,26,192.0,6,-1.0,0
57,209.0,19,453.0,1,-1.0,0
38,257.0,26,57.0,10,-1.0,0
38,2084.0,16,71.0,2,330.0,2
43,175.0,7,54.0,1,-1.0,0
40,95.0,20,61.0,4,-1.0,0
31,-106.0,3,258.0,4,-1.0,0
54,462.0,23,260.0,3,-1.0,0
46,154.0,9,79.0,1,-1.0,0
50,173.0,12,7.0,5,342.0,15
28,913.0,27,580.0,2,-1.0,0
59,201.0,5,52.0,1,8.0,7
